title,author,primary_isbn10,primary_isbn13,bought_by
THE PIONEER WOMAN COOKS: DINNER'S READY!,Ree Drummond,0062962841,9780062962843,Petes_team
THERE ARE MOMS WAY WORSE THAN YOU,Glenn Boozan.,1523515643,9781523515646,Petes_team
THE RUNNING GRAVE,Robert Galbraith,0316572136,9780316572132,Jakes_team
THE RUSSIAN,James Patterson and James O. Born,1538703580,9781538703588,Jakes_team
THE SCARLET VEIL,Shel Mahurin,None,9780063355187,Petes_team
THE SECRET,Lee Child and Andrew Child,1984818597,9781984818591,Jakes_team
THESE INFINITE THREADS,Tahereh Mafi,0062972472,9780062972477,Jakes_team
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,1501161938,9781501161933,Petes_team
THE SHIFT,Tinx,1668007630,9781668007631,Petes_team
THE SKULL,Jon Klassen,1536223360,9781536223361,Jakes_team
THE SPIRIT BARES ITS TEETH,Andrew Joseph White,1682636119,9781682636114,Petes_team
THE STOLEN HEIR,Holly Black,0316592706,9780316592703,Jakes_team
THE STOLEN HEIR,Holly Black,None,9780316519045,Jakes_team
THE STORYTELLER,Dave Grohl,0063076101,9780063076105,Petes_team
THE SUBTLE ART OF NOT GIVING A F*CK,Mark Manson,0062457713,9780062457714,Petes_team
THE SUMMER I TURNED PRETTY TRILOGY,Jenny Han,1442498323,9781442498327,Jakes_team
THE SUMMER I TURNED PRETTY TRILOGY,Jenny Han,1416968296,9781416968290,Jakes_team
THE SUMMER I TURNED PRETTY TRILOGY,Jenny Han,1416995595,9781416995593,Jakes_team
THE SUN AND THE STAR,Rick Riordan and Mark Oshiro,1368081150,9781368081153,Jakes_team
THE WAGER,David Grann,0385534264,9780385534260,Jakes_team
THE WAY I USED TO BE,Amber Smith,1481449362,9781481449366,Petes_team
THE WHEEL OF THE YEAR,Fiona Cook.,1524874809,9781524874803,Petes_team
THE WILD ROBOT,Peter Brown,0316382000,9780316382007,Petes_team
THE WISDOM OF THE BULLFROG,William H. McRaven,1538707942,9781538707944,Jakes_team
THE WOMAN IN ME,Britney Spears,,9781797159515,Jakes_team
THE WOMAN IN ME,Britney Spears,1668009048,9781668009048,Jakes_team
THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin,0385376715,9780385376716,Petes_team
THE WORLD CENTRAL KITCHEN COOKBOOK,José Andrés and World Central Kitchen with Sam Chapple-Sokol,0593579070,9780593579077,Petes_team
THEY BOTH DIE AT THE END,Adam Silvera,0062457802,9780062457806,Petes_team
THINGS WE HIDE FROM THE LIGHT,Lucy Score,172827611X,9781728276113,Jakes_team
THINGS WE LEFT BEHIND,Lucy Score,1728276128,9781728276120,Jakes_team
THIS WINTER,Alice Oseman,1338885138,9781338885132,Jakes_team
"TIME FOR SCHOOL, LITTLE BLUE TRUCK",Alice Schertle.,0358412242,9780358412243,Petes_team
TOM CLANCY: ZERO HOUR,Don Bentley,0593422740,9780593422748,Petes_team
